stn,idx,rcp,hor,stat,centile,val
enacts,rain_season_length,rcp85,1991-2020,mean,-1,
enacts,rain_season_length,rcp85,1991-2020,mean,-1,
enacts,rain_season_length,rcp85,2021-2050,mean,-1,
enacts,rain_season_length,rcp85,2051-2080,mean,-1,
enacts,rain_season_length,rcp85,1991-2020,min,-1,
enacts,rain_season_length,rcp85,2021-2050,min,-1,
enacts,rain_season_length,rcp85,2051-2080,min,-1,
enacts,rain_season_length,rcp85,1991-2020,max,-1,
enacts,rain_season_length,rcp85,2021-2050,max,-1,
enacts,rain_season_length,rcp85,2051-2080,max,-1,
enacts,rain_season_length,rcp85,1991-2020,centile,1,
enacts,rain_season_length,rcp85,2021-2050,centile,1,
enacts,rain_season_length,rcp85,2051-2080,centile,1,
enacts,rain_season_length,rcp85,1991-2020,centile,10,
enacts,rain_season_length,rcp85,2021-2050,centile,10,
enacts,rain_season_length,rcp85,2051-2080,centile,10,
enacts,rain_season_length,rcp85,1991-2020,centile,50,
enacts,rain_season_length,rcp85,2021-2050,centile,50,
enacts,rain_season_length,rcp85,2051-2080,centile,50,
enacts,rain_season_length,rcp85,1991-2020,centile,90,
enacts,rain_season_length,rcp85,2021-2050,centile,90,
enacts,rain_season_length,rcp85,2051-2080,centile,90,
enacts,rain_season_length,rcp85,1991-2020,centile,99,
enacts,rain_season_length,rcp85,2021-2050,centile,99,
enacts,rain_season_length,rcp85,2051-2080,centile,99,
enacts,rain_season_length,rcp85,1991-2020,mean,-1,
enacts,rain_season_length,rcp85,2021-2050,mean,-1,
enacts,rain_season_length,rcp85,2051-2080,mean,-1,
enacts,rain_season_length,rcp85,1991-2020,min,-1,
enacts,rain_season_length,rcp85,2021-2050,min,-1,
enacts,rain_season_length,rcp85,2051-2080,min,-1,
enacts,rain_season_length,rcp85,1991-2020,max,-1,
enacts,rain_season_length,rcp85,2021-2050,max,-1,
enacts,rain_season_length,rcp85,2051-2080,max,-1,
enacts,rain_season_length,rcp85,1991-2020,centile,1,
enacts,rain_season_length,rcp85,2021-2050,centile,1,
enacts,rain_season_length,rcp85,2051-2080,centile,1,
enacts,rain_season_length,rcp85,1991-2020,centile,10,
enacts,rain_season_length,rcp85,2021-2050,centile,10,
enacts,rain_season_length,rcp85,2051-2080,centile,10,
enacts,rain_season_length,rcp85,1991-2020,centile,50,
enacts,rain_season_length,rcp85,2021-2050,centile,50,
enacts,rain_season_length,rcp85,2051-2080,centile,50,
enacts,rain_season_length,rcp85,1991-2020,centile,90,
enacts,rain_season_length,rcp85,2021-2050,centile,90,
enacts,rain_season_length,rcp85,2051-2080,centile,90,
enacts,rain_season_length,rcp85,1991-2020,centile,99,
enacts,rain_season_length,rcp85,2021-2050,centile,99,
enacts,rain_season_length,rcp85,2051-2080,centile,99,
enacts,rain_season_length,rcp85,1991-2020,mean,-1,
enacts,rain_season_length,rcp85,2021-2050,mean,-1,
enacts,rain_season_length,rcp85,2051-2080,mean,-1,
enacts,rain_season_length,rcp85,1991-2020,min,-1,
enacts,rain_season_length,rcp85,2021-2050,min,-1,
enacts,rain_season_length,rcp85,2051-2080,min,-1,
enacts,rain_season_length,rcp85,1991-2020,max,-1,
enacts,rain_season_length,rcp85,2021-2050,max,-1,
enacts,rain_season_length,rcp85,2051-2080,max,-1,
enacts,rain_season_length,rcp85,1991-2020,centile,1,
enacts,rain_season_length,rcp85,2021-2050,centile,1,
enacts,rain_season_length,rcp85,2051-2080,centile,1,
enacts,rain_season_length,rcp85,1991-2020,centile,10,
enacts,rain_season_length,rcp85,2021-2050,centile,10,
enacts,rain_season_length,rcp85,2051-2080,centile,10,
enacts,rain_season_length,rcp85,1991-2020,centile,50,
enacts,rain_season_length,rcp85,2021-2050,centile,50,
enacts,rain_season_length,rcp85,2051-2080,centile,50,
enacts,rain_season_length,rcp85,1991-2020,centile,90,
enacts,rain_season_length,rcp85,2021-2050,centile,90,
enacts,rain_season_length,rcp85,2051-2080,centile,90,
enacts,rain_season_length,rcp85,1991-2020,centile,99,
enacts,rain_season_length,rcp85,2021-2050,centile,99,
enacts,rain_season_length,rcp85,2051-2080,centile,99,
enacts,rain_season_length,rcp85,1991-2020,mean,-1,
enacts,rain_season_length,rcp85,2021-2050,mean,-1,
enacts,rain_season_length,rcp85,2051-2080,mean,-1,
enacts,rain_season_length,rcp85,1991-2020,min,-1,
enacts,rain_season_length,rcp85,2021-2050,min,-1,
enacts,rain_season_length,rcp85,2051-2080,min,-1,
enacts,rain_season_length,rcp85,1991-2020,max,-1,
enacts,rain_season_length,rcp85,2021-2050,max,-1,
enacts,rain_season_length,rcp85,2051-2080,max,-1,
enacts,rain_season_length,rcp85,1991-2020,centile,1,
enacts,rain_season_length,rcp85,2021-2050,centile,1,
enacts,rain_season_length,rcp85,2051-2080,centile,1,
enacts,rain_season_length,rcp85,1991-2020,centile,10,
enacts,rain_season_length,rcp85,2021-2050,centile,10,
enacts,rain_season_length,rcp85,2051-2080,centile,10,
enacts,rain_season_length,rcp85,1991-2020,centile,50,
enacts,rain_season_length,rcp85,2021-2050,centile,50,
enacts,rain_season_length,rcp85,2051-2080,centile,50,
enacts,rain_season_length,rcp85,1991-2020,centile,90,
enacts,rain_season_length,rcp85,2021-2050,centile,90,
enacts,rain_season_length,rcp85,2051-2080,centile,90,
enacts,rain_season_length,rcp85,1991-2020,centile,99,
enacts,rain_season_length,rcp85,2021-2050,centile,99,
enacts,rain_season_length,rcp85,2051-2080,centile,99,
